"","x"
"396",0.536666667
"397",0.4
"398",0.536666667
"399",0
"400",2.125
"401",0
"402",3.714285714
"403",0.5
"404",0.6
"405",0.62
"406",0
"407",3.714285714
"408",0
"409",2.125
"410",0.5
"411",3.714285714
"412",0.166
"413",0.266
"414",0
"415",0
"416",0
"417",0.161290323
"418",0.536666667
"419",1.583333333
"420",0.5
"421",0.5
"422",2.125
"423",0.142857143
"424",0.266
"425",0
"426",0.166
"427",0.142857143
"428",0.5
"429",0
"430",0.536666667
"431",0.6
"432",0.166
"433",0.142857143
"434",0
"435",0
"436",0.6
"437",0
"438",0
"439",1.583333333
"440",0.4
"441",0.6
"442",0.166
"443",0.161290323
"444",0.5
"445",2.125
"446",0.166
"447",0.571428571
"448",0.536666667
"449",0.6
"450",0.5
"451",2.214285714
"452",0.367142857
"453",2.214285714
"454",0.62
"455",0.5
"456",0
"457",0.62
"458",0.161290323
"459",0.5
"460",0.571428571
"461",0.571428571
"462",0.4
"463",0.571428571
"464",0.142857143
"465",0
"466",0
"467",0
"468",1.583333333
"469",0.086296296
"470",0.161290323
"471",2.125
"472",0.536666667
"473",0.2103125
"474",0.6
"475",0.571428571
"476",0
"477",0
"478",0.4
"479",2.214285714
"480",1.583333333
"481",1.583333333
"482",0
"483",0.4
"484",0
"485",0.62
"486",0.536666667
"487",0
"488",0
"489",0.086296296
"490",2.214285714
"491",2.125
"492",0.166
"493",0.536666667
"494",0.086296296
"495",0.571428571
"496",0.2103125
"497",2.214285714
"498",0.571428571
"499",0
"500",0.571428571
"501",0.4
"502",3.714285714
"503",0.367142857
"504",0.571428571
"505",0
"506",3.714285714
"507",0.2103125
"508",0.4
"509",0.367142857
"510",0.367142857
"511",0.6
"512",0.536666667
"513",0.086296296
"514",0
"515",0.6
"516",2.125
"517",1.583333333
"518",3.714285714
"519",0.142857143
"520",3.714285714
"521",0.5
"522",0.161290323
"523",0
"524",0.5
"525",0.571428571
"526",0.2103125
"527",3.714285714
"528",2.214285714
"529",0.166
"530",2.125
"531",0.536666667
"532",0.4
"533",0.6
"534",0.4
"535",0.571428571
"536",0.6
"537",2.214285714
"538",0.5
"539",0
"540",0.4
"541",0.166
"542",0.166
"543",2.125
"544",0.266
"545",0.571428571
"546",0.571428571
"547",0
"548",0
"549",0
"550",0
"551",0.6
"552",0.2103125
"553",0.6
"554",0.5
"555",0.571428571
"556",0.142857143
"557",0.4
"558",0.571428571
"559",0.266
"560",0.5
"561",0.142857143
"562",2.125
"563",0.5
"564",0.571428571
"565",0.266
"566",2.214285714
"567",0.5
"568",2.125
"569",0.536666667
"570",2.214285714
"571",0
"572",0.266
"573",0.4
"574",0.5
"575",0.266
"576",2.214285714
"577",2.214285714
"578",0
"579",0.6
"580",0
"581",0.536666667
"582",0.166
"583",0.4
"584",0.571428571
"585",0.5
"586",0.166
"587",0.536666667
"588",0.536666667
"589",0.161290323
"590",0.367142857
"591",0
"592",0.166
"593",0
"594",1.583333333
"595",0.166
"596",0.62
"597",3.714285714
"598",0.571428571
"599",0
"600",0.571428571
"601",0.536666667
"602",0.2103125
"603",0.166
"604",0.367142857
"605",0.2103125
"606",0.6
"607",2.214285714
"608",0.571428571
"609",0.5
"610",0.62
"611",0.161290323
"612",0.536666667
"613",0.266
"614",2.125
"615",0.4
"616",0.2103125
"617",0.5
"618",0.2103125
"619",0.62
"620",2.125
"621",0.571428571
"622",0.6
"623",0.4
"624",0
"625",0.571428571
"626",0
"627",0
"628",0.571428571
"629",0
"630",0.142857143
"631",0.6
"632",0.086296296
"633",0.161290323
"634",0
"635",0
"636",0.166
"637",0.367142857
"638",0.5
"639",1.583333333
"640",0.4
"641",0
"642",1.583333333
"643",0.571428571
"644",2.214285714
"645",0.571428571
"646",0.266
"647",0.5
"648",0.367142857
"649",0.5
"650",2.125
"651",0
"652",0.2103125
"653",0.571428571
"654",0
"655",0
"656",0.367142857
"657",0.5
"658",0.571428571
"659",0.142857143
"660",0
"661",0.266
"662",0.367142857
"663",2.214285714
"664",0
"665",0
"666",0.571428571
"667",1.583333333
"668",3.714285714
"669",0.367142857
"670",0.5
"671",0.2103125
"672",0.536666667
"673",2.125
"674",0.086296296
"675",0.367142857
"676",0
"677",0.4
"678",1.583333333
"679",0.367142857
"680",0.2103125
"681",0.5
"682",1.583333333
"683",0.5
"684",0
"685",0.266
"686",0.6
"687",1.583333333
"688",0
"689",0.5
"690",0.266
"691",0
"692",0.571428571
"693",0.166
"694",0.2103125
"695",0.4
"696",0.161290323
"697",0
"698",0.536666667
"699",3.714285714
"700",0.571428571
"701",0.6
"702",2.214285714
"703",0.5
"704",2.214285714
"705",0.086296296
"706",0
"707",0.161290323
"708",0.6
"709",0.5
"710",0.62
"711",0.536666667
"712",0.142857143
"713",0.166
"714",0.367142857
"715",0.161290323
"716",0.367142857
"717",0.142857143
"718",0.266
"719",0.571428571
"720",0.166
"721",0.571428571
"722",0.536666667
"723",0.571428571
"724",0.266
"725",0.571428571
"726",0.571428571
"727",0.086296296
"728",0.6
"729",0.2103125
"730",0.5
"731",0
"732",0.086296296
"733",2.214285714
"734",0
"735",0.142857143
"736",2.214285714
"737",0
"738",0.5
"739",0.161290323
"740",0.571428571
"741",0.266
"742",1.583333333
"743",2.214285714
"744",0.166
"745",2.214285714
"746",0.367142857
"747",0
"748",0.166
"749",0.5
"750",0
"751",0
"752",0.5
"753",2.125
"754",0.367142857
"755",0.2103125
"756",0.571428571
"757",0.367142857
"758",1.583333333
"759",0.5
"760",1.583333333
"761",0
"762",0
"763",2.125
"764",0
"765",0.62
"766",0.536666667
"767",0.4
"768",0.571428571
"769",0.5
"770",0
"771",0
"772",0.6
"773",0
"774",0.5
"775",0
"776",0.266
"777",3.714285714
"778",1.583333333
"779",0
"780",0
"781",2.214285714
"782",0.142857143
"783",0.367142857
"784",0.4
"785",0.161290323
"786",0.536666667
"787",0.5
"788",1.583333333
"789",0.166
"790",0
"791",0
"792",0.6
"793",0
"794",1.583333333
"795",0.571428571
"796",0.2103125
"797",0.4
"798",0.142857143
"799",0
"800",0.4
"801",0
"802",0.166
"803",2.125
"804",0
"805",0
"806",0.62
"807",0.086296296
"808",0
"809",0.266
"810",0.6
"811",0.2103125
"812",0.142857143
"813",3.714285714
"814",0.086296296
"815",2.125
"816",0.536666667
"817",0
"818",0.142857143
"819",0.5
"820",0.142857143
"821",3.714285714
"822",3.714285714
"823",0.5
"824",0.4
"825",0.142857143
"826",0.4
"827",0.266
"828",0
"829",0.571428571
"830",0.5
"831",0.166
"832",0.166
"833",0.536666667
"834",0.5
"835",0.4
"836",0.6
"837",2.125
"838",0.161290323
"839",0.536666667
"840",3.714285714
"841",0.5
"842",1.583333333
"843",0.367142857
"844",0.5
"845",0.086296296
"846",0.5
"847",0.536666667
"848",0.086296296
"849",0.571428571
"850",1.583333333
"851",0.142857143
"852",0
"853",2.125
"854",0.166
"855",0.62
"856",0
"857",1.583333333
"858",1.583333333
"859",0
"860",3.714285714
"861",0.166
"862",0.571428571
"863",0.5
"864",0.5
"865",0
"866",0.161290323
"867",0
"868",0
"869",0.166
"870",2.214285714
"871",0.62
"872",2.125
"873",0
"874",0.5
"875",3.714285714
"876",0
"877",0.086296296
"878",0.086296296
"879",0.5
"880",2.214285714
"881",0.086296296
"882",0.142857143
"883",2.125
"884",0.086296296
"885",0.2103125
"886",0.4
"887",0.266
"888",0
"889",2.125
"890",0.571428571
"891",0
"892",0.6
"893",0.4
"894",0.086296296
"895",0
"896",0.142857143
"897",0.086296296
"898",0.571428571
"899",0.367142857
"900",0.62
"901",0
"902",1.583333333
"903",0.086296296
"904",2.125
"905",0.266
"906",0.266
"907",0.166
"908",0.6
"909",0.4
"910",0.4
"911",2.125
"912",0.5
"913",0
"914",0.4
"915",0.5
"916",1.583333333
"917",0.62
"918",0.142857143
"919",2.125
"920",1.583333333
"921",0.5
"922",0
"923",0.5
"924",0.5
"925",0
"926",0.4
"927",0
"928",0.6
"929",0.142857143
"930",0.2103125
"931",0.6
"932",1.583333333
"933",2.125
"934",0.367142857
"935",0.161290323
"936",0.367142857
"937",0
"938",0.086296296
"939",0.6
"940",0.5
"941",0.166
"942",0.5
"943",0.4
"944",0.5
"945",0
"946",0.086296296
"947",0.62
"948",0.571428571
"949",0.086296296
"950",0.142857143
"951",0.266
"952",2.214285714
"953",0.266
"954",0.161290323
"955",0.536666667
"956",0.142857143
"957",0.086296296
"958",2.214285714
"959",0.62
"960",0.571428571
"961",0.2103125
"962",0.2103125
"963",0
"964",0.166
"965",0
"966",0.2103125
"967",0.161290323
"968",0.6
"969",2.125
"970",0
"971",0.571428571
"972",0.571428571
"973",0
"974",0.4
"975",0
"976",2.214285714
"977",0.536666667
"978",0.086296296
"979",0
"980",0.536666667
"981",0.5
"982",2.214285714
"983",1.583333333
"984",0.266
"985",0
"986",0.367142857
"987",3.714285714
"988",2.125
"989",0.5
"990",0.5
"991",0.2103125
"992",0.62
"993",2.125
"994",0
"995",0
"996",0
"997",0
"998",0.161290323
"999",0.266
"1000",0.536666667
"1001",0.2103125
"1002",0.2103125
"1003",0
"1004",2.214285714
"1005",0.142857143
"1006",0.5
"1007",0.571428571
"1008",0.2103125
"1009",0.62
"1010",0.266
"1011",0.161290323
"1012",0.6
"1013",1.583333333
"1014",0
"1015",0.4
"1016",0.5
"1017",0.367142857
"1018",0.571428571
"1019",1.583333333
"1020",0
"1021",0.571428571
"1022",0.2103125
"1023",1.583333333
"1024",0.086296296
"1025",0.571428571
"1026",0
"1027",0
"1028",0.161290323
"1029",3.714285714
"1030",0.086296296
"1031",0.142857143
"1032",0
"1033",0.142857143
"1034",0
"1035",0
"1036",0
"1037",3.714285714
"1038",0
"1039",0.6
"1040",0.571428571
"1041",0
"1042",0.5
"1043",0
"1044",0.166
"1045",0.536666667
"1046",2.125
"1047",0
"1048",0.5
"1049",0
"1050",3.714285714
"1051",0.5
"1052",0
"1053",0.62
"1054",0.142857143
"1055",0.5
"1056",0.086296296
"1057",0
"1058",1.583333333
"1059",0.571428571
"1060",0.6
"1061",0
"1062",0.142857143
"1063",0
"1064",2.214285714
"1065",0.367142857
"1066",0
"1067",0.62
"1068",0.142857143
"1069",1.583333333
"1070",0.6
"1071",0.266
"1072",0
"1073",0.4
"1074",0.367142857
"1075",0.5
"1076",0.161290323
"1077",0.536666667
"1078",0
"1079",1.583333333
"1080",2.214285714
"1081",0.571428571
"1082",0.536666667
"1083",0.161290323
"1084",0.086296296
"1085",0
"1086",1.583333333
"1087",0.5
"1088",0.266
"1089",2.125
"1090",0.4
"1091",0.5
"1092",0.166
"1093",0.536666667
"1094",0
"1095",0
"1096",0.5
"1097",0.5
"1098",0.5
"1099",2.214285714
"1100",0.2103125
"1101",0.161290323
"1102",0
"1103",0.142857143
"1104",0.6
"1105",0.571428571
"1106",0
"1107",0.2103125
"1108",0.62
"1109",0
"1110",0
"1111",2.125
"1112",1.583333333
"1113",0
"1114",0
"1115",0.142857143
"1116",0
"1117",0.367142857
"1118",3.714285714
"1119",0.5
"1120",0
"1121",0.4
"1122",0.2103125
"1123",0.6
"1124",0.5
"1125",0.142857143
"1126",0.142857143
"1127",0.6
"1128",0.5
"1129",0.142857143
"1130",0.2103125
"1131",2.214285714
"1132",0.142857143
"1133",0.5
"1134",0.266
"1135",0.161290323
"1136",1.583333333
"1137",0.086296296
"1138",0.5
"1139",0
"1140",0.266
"1141",0.266
"1142",0.571428571
"1143",2.214285714
"1144",0.536666667
"1145",0.161290323
"1146",0.571428571
"1147",0.166
"1148",0
"1149",0.62
"1150",0.2103125
"1151",0.536666667
"1152",0.536666667
"1153",0.166
"1154",0.6
"1155",0.4
"1156",0.086296296
"1157",0.62
"1158",3.714285714
"1159",3.714285714
"1160",0.6
"1161",0.571428571
"1162",1.583333333
"1163",0.4
"1164",2.214285714
"1165",0.536666667
"1166",0.2103125
"1167",1.583333333
"1168",0
"1169",0.4
"1170",0.62
"1171",0
"1172",1.583333333
"1173",0.4
"1174",0.166
"1175",0
"1176",0
"1177",2.214285714
"1178",0.166
"1179",0.086296296
"1180",0.6
"1181",0.166
"1182",0.62
"1183",0.571428571
"1184",2.125
"1185",0.4
"1186",3.714285714
"1187",0.571428571
"1188",0.571428571
"1189",0.086296296
"1190",0.5
"1191",0
"1192",0.2103125
"1193",0
"1194",0.166
"1195",0.166
"1196",2.214285714
"1197",0.62
"1198",0.086296296
"1199",1.583333333
"1200",0.536666667
"1201",0.6
"1202",0
"1203",0.6
"1204",0.2103125
"1205",0
"1206",0
"1207",0.266
"1208",0.6
"1209",0.166
"1210",0.571428571
"1211",0.2103125
"1212",2.125
"1213",0.536666667
"1214",0.6
"1215",1.583333333
"1216",0
"1217",0
"1218",0
"1219",0.5
"1220",0.266
"1221",0.086296296
"1222",0
"1223",2.125
"1224",0.571428571
"1225",0
"1226",2.125
"1227",0.536666667
"1228",3.714285714
"1229",0.367142857
"1230",0.266
"1231",0
"1232",0.571428571
"1233",0.266
"1234",0.161290323
"1235",1.583333333
"1236",0.571428571
"1237",2.214285714
"1238",0.5
"1239",0.6
"1240",0.2103125
"1241",0.166
"1242",0
"1243",0.5
"1244",0.62
"1245",2.125
"1246",0.5
"1247",2.214285714
"1248",0.6
"1249",0.367142857
"1250",0.571428571
"1251",0.571428571
"1252",0
"1253",0
"1254",0.161290323
"1255",0.571428571
"1256",0
"1257",0.4
"1258",0.4
"1259",0
"1260",0.2103125
"1261",0.266
"1262",0.161290323
"1263",1.583333333
"1264",0.086296296
"1265",0.266
"1266",0.571428571
"1267",0
"1268",2.214285714
"1269",3.714285714
"1270",0.6
"1271",0
"1272",0.5
"1273",0.161290323
"1274",0.142857143
"1275",0.5
"1276",3.714285714
"1277",0.142857143
"1278",0.266
"1279",0.5
"1280",0.266
"1281",0.161290323
"1282",2.125
"1283",0
"1284",0.2103125
"1285",0
"1286",0.5
"1287",0.5
"1288",1.583333333
"1289",0.5
"1290",0.161290323
"1291",0.142857143
"1292",0.62
"1293",2.214285714
"1294",0.4
"1295",0
"1296",0
"1297",0
"1298",0.6
"1299",0
"1300",0.62
"1301",0.142857143
"1302",2.125
"1303",0.266
"1304",0.571428571
"1305",0.536666667
"1306",0.086296296
"1307",1.583333333
"1308",0.536666667
"1309",0.571428571
"1310",0
"1311",0.2103125
"1312",0.5
"1313",0.6
"1314",0.536666667
"1315",0.086296296
"1316",2.214285714
"1317",2.214285714
"1318",0.62
"1319",0.161290323
"1320",2.125
"1321",0
"1322",0.142857143
"1323",0
"1324",0.161290323
"1325",0.536666667
"1326",0.5
"1327",0
"1328",0
"1329",0.086296296
"1330",0.2103125
"1331",0.571428571
"1332",0.161290323
"1333",0.5
"1334",0.571428571
"1335",0
"1336",0.536666667
"1337",0.266
"1338",0.571428571
"1339",0.2103125
"1340",0.142857143
"1341",0.266
"1342",0.6
"1343",0.161290323
"1344",0
"1345",0
"1346",0
"1347",3.714285714
"1348",0.161290323
"1349",0.571428571
"1350",0.086296296
"1351",0
"1352",0.4
"1353",0.2103125
"1354",0.266
"1355",1.583333333
"1356",0.5
"1357",3.714285714
"1358",0.5
"1359",0
"1360",0.5
"1361",0.6
"1362",0.536666667
"1363",0.5
"1364",0
"1365",0.5
"1366",0
"1367",0.266
"1368",0.6
"1369",0.536666667
"1370",0.266
"1371",0.166
"1372",0
"1373",3.714285714
"1374",0
"1375",0.142857143
"1376",0.4
"1377",0.571428571
"1378",0.4
"1379",0.367142857
"1380",0.571428571
"1381",0.5
"1382",3.714285714
"1383",0.571428571
"1384",0.571428571
"1385",0.086296296
"1386",0.2103125
"1387",0.536666667
"1388",0.571428571
"1389",2.214285714
"1390",2.214285714
"1391",0.4
"1392",3.714285714
"1393",0.536666667
"1394",0
"1395",0.571428571
"1396",0
"1397",0.62
"1398",3.714285714
"1399",0.571428571
"1400",0
"1401",0.161290323
"1402",0.161290323
"1403",0.571428571
"1404",0
"1405",0.571428571
"1406",0.5
"1407",2.125
"1408",0.266
"1409",2.214285714
"1410",0.166
"1411",0.536666667
"1412",0.4
"1413",0.536666667
"1414",0.142857143
"1415",0.367142857
"1416",0.086296296
"1417",0.536666667
"1418",0.142857143
"1419",2.214285714
"1420",1.583333333
"1421",0.6
"1422",0.367142857
"1423",0.571428571
"1424",0.2103125
"1425",1.583333333
"1426",0.367142857
"1427",0.161290323
"1428",0.166
"1429",0.6
"1430",1.583333333
"1431",3.714285714
"1432",0.086296296
"1433",0.166
"1434",0
"1435",2.125
"1436",0.142857143
"1437",0.571428571
"1438",0.4
"1439",0
"1440",0.6
"1441",0.62
"1442",0
"1443",0
"1444",0
"1445",0
"1446",0.536666667
"1447",0
"1448",0.62
"1449",2.214285714
"1450",0.536666667
"1451",2.214285714
"1452",0.6
"1453",0.536666667
"1454",2.214285714
"1455",0.166
"1456",0.571428571
"1457",0.536666667
"1458",0.5
"1459",0.161290323
"1460",0.367142857
"1461",0
"1462",0.142857143
"1463",0.571428571
"1464",0.571428571
"1465",0.161290323
"1466",0
"1467",0.536666667
"1468",0.2103125
"1469",0
"1470",0.142857143
"1471",0
"1472",0.367142857
"1473",0
"1474",0.086296296
"1475",2.125
"1476",2.214285714
"1477",0.086296296
"1478",0.6
"1479",0.536666667
"1480",0.086296296
"1481",0.161290323
"1482",0.62
"1483",0
"1484",0.5
"1485",3.714285714
"1486",0.2103125
"1487",0
"1488",0.161290323
"1489",0
"1490",0.166
"1491",0.161290323
"1492",2.125
"1493",0.166
"1494",3.714285714
"1495",0.571428571
"1496",0
"1497",0.2103125
"1498",0.5
"1499",0
"1500",0.5
"1501",0
"1502",0.5
"1503",2.214285714
"1504",0.161290323
"1505",3.714285714
"1506",2.125
"1507",0.166
"1508",2.214285714
"1509",2.125
"1510",0.5
"1511",0.5
"1512",0.536666667
"1513",0.2103125
"1514",0.266
"1515",2.125
"1516",0
"1517",0.2103125
"1518",0
"1519",0.5
"1520",0.571428571
"1521",0
"1522",0.4
"1523",0.2103125
"1524",0.6
"1525",0.536666667
"1526",0
"1527",0.5
"1528",2.125
"1529",0.086296296
"1530",1.583333333
"1531",2.125
"1532",0.161290323
"1533",0
"1534",0
"1535",0.166
"1536",0
"1537",3.714285714
"1538",2.125
"1539",0.536666667
"1540",0.6
"1541",1.583333333
"1542",3.714285714
"1543",0.5
"1544",0.5
"1545",0
"1546",0.6
"1547",0.571428571
"1548",1.583333333
"1549",0
"1550",0.161290323
"1551",2.125
"1552",0.166
"1553",0
"1554",0.166
"1555",0.536666667
"1556",0.5
"1557",1.583333333
"1558",3.714285714
"1559",0
"1560",0.2103125
"1561",0.086296296
"1562",0.571428571
"1563",3.714285714
"1564",0.266
"1565",0.367142857
"1566",2.214285714
"1567",0.571428571
"1568",0.166
"1569",0
"1570",0.266
"1571",0.4
"1572",0
"1573",0.571428571
"1574",2.125
"1575",0.5
"1576",0
"1577",2.125
"1578",0
"1579",0
"1580",0.571428571
"1581",0
"1582",0.4
"1583",0
"1584",0.5
"1585",0
"1586",0.62
"1587",0.086296296
"1588",0
"1589",0
"1590",0
"1591",0.166
"1592",0.4
"1593",3.714285714
"1594",2.214285714
"1595",0.536666667
"1596",0.4
"1597",0.2103125
"1598",0.166
"1599",2.125
"1600",0.5
"1601",0.367142857
"1602",0.166
"1603",0
"1604",0.571428571
"1605",0.142857143
"1606",0.5
"1607",0.166
"1608",0
"1609",0.2103125
"1610",3.714285714
"1611",0.5
"1612",0.367142857
"1613",0.536666667
"1614",0.166
"1615",0
"1616",0.086296296
"1617",0
"1618",0.142857143
"1619",0.536666667
"1620",0.161290323
"1621",0
"1622",0.62
"1623",2.214285714
"1624",0
"1625",0.367142857
"1626",0
"1627",0.536666667
"1628",0.571428571
"1629",0.571428571
"1630",0.142857143
"1631",2.214285714
"1632",0.166
"1633",3.714285714
"1634",3.714285714
"1635",0.166
"1636",0.166
"1637",1.583333333
"1638",0.571428571
"1639",0.266
"1640",0.5
"1641",0.62
"1642",0.142857143
"1643",0.6
"1644",0.6
"1645",0.6
"1646",0
"1647",0.166
"1648",0.142857143
"1649",0.5
"1650",0.536666667
"1651",2.125
"1652",0.166
"1653",0.161290323
"1654",0.5
"1655",0
"1656",2.125
"1657",0.266
"1658",0.571428571
"1659",0
"1660",0.62
"1661",0
"1662",0.266
"1663",0.5
"1664",0.5
"1665",0.571428571
"1666",0.2103125
"1667",1.583333333
"1668",2.125
"1669",0.571428571
"1670",0
"1671",2.214285714
"1672",0.142857143
"1673",0.166
"1674",2.125
"1675",0
"1676",0.6
"1677",2.125
"1678",0.086296296
"1679",0.166
"1680",2.214285714
"1681",2.214285714
"1682",0.5
"1683",0
"1684",0.161290323
"1685",0
"1686",1.583333333
"1687",0.571428571
"1688",0
"1689",0.62
"1690",0.166
"1691",0
"1692",0.086296296
"1693",0
"1694",3.714285714
"1695",0.166
"1696",0.4
"1697",0.571428571
"1698",0.4
"1699",0.62
"1700",0.571428571
"1701",0.571428571
"1702",1.583333333
"1703",0.166
"1704",3.714285714
"1705",2.125
"1706",0.536666667
"1707",0.4
"1708",0
"1709",0.166
"1710",0.571428571
"1711",0.367142857
"1712",0
"1713",0.2103125
"1714",0.5
"1715",0
"1716",2.214285714
"1717",0.166
"1718",0.571428571
"1719",0.62
"1720",0.086296296
"1721",0.266
"1722",0.166
"1723",0
"1724",0
"1725",3.714285714
"1726",0.086296296
"1727",0.571428571
"1728",0.2103125
"1729",0.571428571
"1730",0
"1731",0.086296296
"1732",0.62
"1733",2.125
"1734",0.4
"1735",0.2103125
"1736",0.62
"1737",0.62
"1738",0.166
"1739",0.6
"1740",0.266
"1741",3.714285714
"1742",2.214285714
"1743",2.125
"1744",0.5
"1745",0.4
"1746",0.536666667
"1747",0.161290323
"1748",0
"1749",0.6
"1750",0.086296296
"1751",0.571428571
"1752",0.6
"1753",0.266
"1754",1.583333333
"1755",0.5
"1756",3.714285714
"1757",0
"1758",1.583333333
"1759",0.166
"1760",0.5
"1761",0.4
"1762",0.367142857
"1763",2.125
"1764",0.571428571
"1765",0.536666667
"1766",0.5
